"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13"
"1" -105 -168 -169 -105 NA NA 60 60 73 73 NA NA 1
"2" -66 -80 -69 -50 -50 NA -20 -1 11 11 -20 NA 7
"3" -68 -80 -118 -90 NA NA 11 -1 29 29 NA NA 6
"4" 60 60 75 75 NA NA 30 50 50 30 NA NA 20
"5" -10 -10 40 40 NA NA 45 48 61 45 NA NA 12
"6" -10 -105 -105 -10 NA NA 50 50 85 85 NA NA 2
"7" -85 -85 -105 -105 NA NA 50 29 29 50 NA NA 4
"8" 25 25 52 52 NA NA -11 15 15 -11 NA NA 16
"9" 100 100 145 145 NA NA 20 50 50 20 NA NA 22
"10" -60 -85 -85 -60 NA NA 25 25 50 50 NA NA 5
"11" -10 -10 40 40 NA NA 30 45 45 30 NA NA 13
"12" 40 40 180 180 NA NA 50 70 70 50 NA NA 18
"13" 110 110 155 155 NA NA -30 -10 -10 -30 NA NA 25
"14" -34 -50 -50 -34 NA NA -20 -20 0 0 NA NA 8
"15" -10 -10 40 40 NA NA 48 75 75 61 NA NA 11
"16" -10 -10 52 52 NA NA -35 -11 -11 -35 NA NA 17
"17" -20 -20 40 40 NA NA 15 30 30 15 NA NA 14
"18" 60 60 100 100 95 95 5 30 30 20 20 5 23
"19" 110 110 180 180 NA NA -50 -30 -30 -50 NA NA 26
"20" -39 -39 -67 -72 -66 NA -20 -57 -57 -50 -20 NA 10
"21" 95 95 155 155 NA NA -10 20 20 -10 NA NA 24
"22" 75 75 100 100 NA NA 30 50 50 30 NA NA 21
"23" -20 -20 25 25 NA NA -11 15 15 -11 NA NA 15
"24" 40 40 60 60 NA NA 15 50 50 15 NA NA 19
"25" -80 -66 -72 -67 -82 -82 -1 -20 -50 -57 -57 1 9
"26" -105 -130 -130 -105 NA NA 29 29 60 60 NA NA 3
